timestamp,sensor_id,sensor_type,location,value,unit,quality
2026-02-21T06:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T06:09:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T06:09:49.129964+00:00,HUM-N01,humidity,north_gate,58.33,percent,good
2026-02-21T06:09:49.129964+00:00,VIB-F01,vibration,foundation,0.21,mm_per_sec,good
2026-02-21T06:09:49.129964+00:00,NOISE-P01,noise_level,perimeter,70.72,dBA,good
2026-02-21T06:09:49.129964+00:00,DUST-E01,pm25,entrance,6.02,ug_per_m3,good
2026-02-21T06:24:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T06:24:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T06:24:49.129964+00:00,HUM-N01,humidity,north_gate,56.75,percent,good
2026-02-21T06:24:49.129964+00:00,VIB-F01,vibration,foundation,0.16,mm_per_sec,good
2026-02-21T06:24:49.129964+00:00,NOISE-P01,noise_level,perimeter,74.32,dBA,good
2026-02-21T06:24:49.129964+00:00,DUST-E01,pm25,entrance,27.31,ug_per_m3,good
2026-02-21T06:39:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T06:39:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T06:39:49.129964+00:00,HUM-N01,humidity,north_gate,48.93,percent,good
2026-02-21T06:39:49.129964+00:00,VIB-F01,vibration,foundation,0.07,mm_per_sec,good
2026-02-21T06:39:49.129964+00:00,NOISE-P01,noise_level,perimeter,74.46,dBA,good
2026-02-21T06:39:49.129964+00:00,DUST-E01,pm25,entrance,28.49,ug_per_m3,good
2026-02-21T06:54:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
2026-02-21T06:54:49.129964+00:00,TEMP-S01,temperature,south_gate,18,celsius,good
2026-02-21T06:54:49.129964+00:00,HUM-N01,humidity,north_gate,67.98,percent,good
2026-02-21T06:54:49.129964+00:00,VIB-F01,vibration,foundation,0.03,mm_per_sec,good
2026-02-21T06:54:49.129964+00:00,NOISE-P01,noise_level,perimeter,68.88,dBA,good
2026-02-21T06:54:49.129964+00:00,DUST-E01,pm25,entrance,21.92,ug_per_m3,good
2026-02-21T07:09:49.129964+00:00,TEMP-N01,temperature,north_gate,18,celsius,good
